start	end	text
333920	338880	new one all about what happens next with COVID-19, so I would highly recommend taking a look
338880	341000	at his work if you get the chance.
341000	344880	He kindly made this post public domain, and moreover helped me in putting together this
344880	346360	video.
346360	350680	Any reasonable plan for reopening the economy without causing a second wave in the virus
350680	354960	will include some kind of contact tracing, and given how counterintuitive the privacy
354960	359520	protection here can be, I wanted to do all that I could to help amplify this message.
359520	364120	If you agree, please do share either Nicky's original post or this video adaptation of
364120	365120	it.
365120	368680	And since the time Nicky posted that, Apple and Google have put out press releases about
368680	371800	their own interoperable contact tracing systems.
371800	375720	And I'll tell you, I'm one of those people who aggressively turns off location tracking
375720	381520	as much as I can on my phone, no matter how annoying the apps can be about asking.
381520	386320	But I'm 100% on board with these apps, because it's not tracking your location or anything
386320	387480	like that.
387480	391020	And if you're a nerd like me who wants to dig into cryptography a bit, I would recommend
391020	395580	looking at the white paper and code for the DP3T algorithm, for which I've left links
395580	397500	in the description.
397500	402240	And as a final note, among the many unfortunate consequences of the lockdowns is a spike in
402240	406000	calls to mental health services, like the suicide prevention hotline.
406000	409880	If someone you know is at risk of suicide, give them a call, make sure they're doing
409880	413760	okay, and if you're at risk, take a look at the resources in the description.
413760	416680	And if it's an option, reach out to the people in your life to talk about what you're
416680	439840	going through.
