start	end	text
593680	595880	But with Brilliant, you might actually get started
595880	597780	on your journey to figuring it out.
597780	599660	They already have thousands of lessons
599660	601860	and new ones are added every month.
601860	602860	So if you want to get started
602860	605260	with Brilliant's annual premium subscription,
605260	607860	they're giving 20% off to the first 200 people
607860	611460	to sign up via my link, brilliant.org slash Veritasium.
611460	613640	I will put that down in the description.
613640	616180	So I want to thank Brilliant for supporting Veritasium
616180	631180	and I want to thank you for watching.
